name,,source,comments
@Desi3arms,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgztmEnTlgIzbkQaQR94AaABAg,It’s not a tax on countries.  It’s a tax on Americans. Why is the media so awful at covering tariffs.
@blackgrandpa7652,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyPmYP0rykp3ocowUl4AaABAg&pp=0gcJCSMANpG00pGi,They don't call him T.A.C.O for nothing the  American consumers are gonna pay higher prices through their teeth and some in there Ass
@pragmatica1032,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxscLMcnN7ZYlA6tPJ4AaABAg,"""We have these beautiful letters..."" Take a peek at them, they appear quite childish and written in a passive-aggressive tone."
@josephsmith594,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugyc0Gtzgpfzo6r677R4AaABAg,"These press briefings are always a depressing clown show. Smug, arrogant, condescending, and usually highly misleading. “We have these beautiful letters”? What’s wrong with these people?"
@TonyKuehler,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzlKumE6yTnMlyPCyt4AaABAg,"When I was a child I remember being told that we were a great country because ANYONE could grow up to be President.

Oh my God, they were right."
@TortillasAllTheWayDown,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxWM35m7BtzAIV8rbx4AaABAg,How tf do you tax another country?! That is not a thing
@Canoe64,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyshVTtgq71Qdndxr54AaABAg,How does Taco not understand that consumers in small poor countries do not have the same buying power as americans?
@thorbennielsen3845,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxxGr7bdPqWes6_AOV4AaABAg,He sent a letter to Mr. Japan …
@obsidianjane4413,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwLPnbFfSbGJ5RX7eV4AaABAg,TACO! TACO! MAN!
@snowballs2023,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyYOCgFpzSTDBpRUGh4AaABAg,Canadian here I like to see our PM rip up Trump's letter on TV. We have deal its USMCA.
@altyt4m,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgydK2rnuWGG2n4YPu14AaABAg,Penguins are worried
@strikezonefishingadventures,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxTlfmlIDLkRUXP1Ql4AaABAg,"Americans are in for such a huge surprise when they go to purchase back-to-school clothing for their children... and when they find out the price of those items have increased 30-40%.  Countries are simply going to cut back on what they sell to the US.  It is going to be a meager Christmas this year for many families.  Between the increased costs and limited supply, the American public is going to really see and feel the full impacts of Donald Trump's tariffs."
@muhammadshahabuldin7830,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugw-OQVmJr-hXBs-tbd4AaABAg,He is losing all his friends
@MaximBordyug.,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyAUwBAj-EqAvS2WXh4AaABAg,This truly is an exhausting time to be an Аmеricаn
@richietattersall2122,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxfVZ664LwCIMEdngt4AaABAg,"President, ""I don't have a CLUE what I'm doing,"" Trump, strikes again."
@ThespaceDr,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugwu6zqT1Aa7z_3KgG14AaABAg,The biggest chicken in human history
@crustymilkcap,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzLmnTnUsGs7abS8454AaABAg,What a trainwreck
@AmirHossein-u6z,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwA0Ow4a6UUZFlckP54AaABAg,How many deadlines we have?  42 left!
@ANIMEWORLD-jg4py,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgynfyMMD6o0krcUM7B4AaABAg,Taco for a reason
@jjjay3209,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyC2w1rOfyGAJPO9qJ4AaABAg,Its so hard to understand how you get the entire US administration mentally ill all at the same time.
@kerstinengelhardt1993,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz-QTRKEYgmtLoNLdZ4AaABAg,Now nobody things anymore about the disaster in Texas. Perfect
@gundamzerostrike,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwbYv2h70144Qk_s_F4AaABAg&pp=0gcJCSMANpG00pGi,How long will these taxes hold this time? 1 week? 2 weeks? 1 month? Other countries don't even give a f* anymore.
@AmirHossein-u6z,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwA0Ow4a6UUZFlckP54AaABAg,How many deadlines we have?  42 left!
@ANIMEWORLD-jg4py,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgynfyMMD6o0krcUM7B4AaABAg,Taco for a reason
